Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
219,20659.452535542347,15477.48038337567,2132.208143006684,3049.764009159992,22166.466306813883,42825.91884235623
220,38390.3167153456,28597.484409787296,4029.5670450207913,5763.265260537515,41885.04721030529,80275.36392565089
221,35067.27958082524,29407.303026543388,2586.8681220052267,3073.1084322766255,32845.47130043453,67912.75088125977
222,32727.56388302863,27482.355951546317,2397.325926721268,2847.882004761045,30439.011442936102,63166.57532596473
223,97206.16371879981,72211.03337380687,10285.474508871986,14709.655836120946,106916.31420406715,204122.47792286696
224,172519.47183234282,128169.06319824257,18250.30579702646,26100.102837073788,189705.490155571,362224.9619879138
225,89083.0581539114,66182.29644652322,9423.076316170553,13477.685391217636,97948.43305736796,187031.49121127935
226,49593.937947196246,36982.15030862773,5189.760595373231,7422.027043195289,53947.322577473264,103541.26052466952
227,30691.003743647092,22879.863540324644,3214.115778557236,4597.024424765211,33412.19440670296,64103.19815035006
228,90496.31470582484,67444.74805293953,9485.727036966955,13565.839615918356,98600.46817838715,189096.78288421198
229,85552.82406119151,63528.85409308071,9062.274432872224,12961.695535238583,94201.60641229618,179754.4304734877
230,108013.54886076784,80255.96068412763,11421.899558160861,16335.688618479357,118733.60970245194,226747.15856321977
231,74817.23047000493,55633.16260062882,7894.24458871558,11289.823280660534,82059.35748458937,156876.5879545943
232,77248.0475485844,57473.08556747448,8137.481519145322,11637.4804619646,84588.98961730309,161837.03716588748
233,52670.41842773642,39144.45653974727,5565.954193707789,7960.007694281361,57858.938102490225,110529.35653022665
234,162458.79200386564,120870.70592921585,17113.488262263258,24474.59781238652,177897.74693318683,340356.5389370525
235,58693.46487914126,43794.37759375085,6130.620387817796,8768.46689757262,63727.37562485959,122420.84050400085
236,49065.398096452314,36548.203540447976,5150.4222108862205,7366.772345118116,53538.94721539454,102604.34531184685
237,24383.73733136603,18325.764535760733,2492.8738265134953,3565.0989690917977,25915.277569059246,50299.014900425274
238,99794.4234055688,74245.14066278005,10512.771748085841,15036.510994702918,109281.89317031106,209076.31657587987
239,23262.776614276703,17414.12612716217,2406.78639286437,3441.864094250161,25017.520994339673,48280.297608616376
240,48141.21640531852,35795.85642716223,5079.887231307949,7265.472746848338,52805.426762885596,100946.64316820411
241,25038.146963408835,18618.049275270736,2641.885981344819,3778.2117067932795,27461.755930064526,52499.902893473365
242,53737.75676979807,39924.88555958743,5683.617549658664,8129.253660551981,59083.12428843721,112820.88105823527
243,40799.525553285384,30378.51197208043,4288.282884259196,6132.73069694576,44574.41750047555,85373.94305376094
244,169507.07810912136,126890.56061746398,17536.77449453456,25079.742997122816,182294.1752130846,351801.253322206
245,114116.16036698077,85425.62672228913,11806.295568099293,16884.238076592348,122724.606937242,236840.76730422277
246,178675.779966006,133754.0656805619,18485.403305441796,26436.31098000231,192154.4875978805,370830.2675638865
247,217169.11031154217,162569.59597236864,22467.858448464776,32131.65589070875,233551.63833710228,450720.7486486444
248,109796.99642044914,82192.33151428204,11359.458612779545,16245.206293387553,118079.58609294747,227876.58251339663
249,155488.99777108835,116396.57632324444,16086.797219925127,23005.624227918786,167218.23532150086,322707.2330925892
250,166248.896536898,124451.36127446934,17199.896095806307,24597.639166622354,178789.9850993402,345038.8816362382
251,159277.61214806745,119232.83060166179,16478.571225305328,23566.21032110034,171292.95735180547,330570.5694998729
252,316433.5449078245,236877.39372299658,32737.671682208158,46818.47950261971,340304.02938437153,656737.574292196
253,19928.586059003213,14918.287218468704,2061.717012665667,2948.581827868841,21432.015554876405,41360.60161387962
254,23965.190797909596,17830.391827972835,2524.2881722315337,3610.510797705227,26240.296047188767,50205.48684509836
255,28642.96287760258,21498.690988597686,2939.774016080259,4204.497872924632,30559.534885209127,59202.497762811705
256,33496.548131990254,25190.12191567179,3417.894682416138,4888.531533902324,35528.93466914447,69025.48280113473
257,19767.51480578752,14852.134990025977,2022.6139895334388,2892.765826228104,21023.892409519547,40791.40721530707
258,12583.394932388157,9420.951585831752,1301.3009601002063,1861.1423864561991,13527.98507190034,26111.380004288498
259,10887.370626809092,8105.906230304845,1144.5381186347606,1636.9262778694858,11897.790030256881,22785.16065706597
260,16087.753225812105,12029.871257775118,1669.756697566481,2388.1252704705053,17357.207205470666,33444.96043128277
261,10879.950031534298,8079.335615978669,1152.479981255421,1648.1344343002079,11978.712907196661,22858.66293873096
262,35385.10097171932,26602.557748343545,3614.0130779657566,5168.530145410026,37567.181420895184,72952.2823926145
263,16821.935438971035,12592.626553429745,1740.398625437858,2488.910260103431,18090.887620292342,34912.82305926338
264,226716.7315133746,169716.77444999618,23455.67063125767,33544.286432120745,243819.44395951708,470536.17547289166
265,85852.24041146896,64267.74926866385,8882.055310519272,12702.435832285832,92328.68562028106,178180.92603175002
266,267331.6990899781,200120.5764529913,27657.58135681278,39553.54128017403,287498.2912218947,554829.9903118728
267,217244.98461946993,162626.30008205108,22475.831937078216,32142.852600340648,233632.9910359345,450877.97565540444
268,315600.0052871028,236253.4353962019,32651.41831659024,46695.151574310636,339407.6763347197,655007.6816218225
269,83806.37588483538,62736.19990423743,8670.447928227706,12399.728052370243,90128.38610382752,173934.76198866288
270,132301.95272363626,99039.24549420983,13687.754898912663,19574.952330513763,142282.28858051673,274584.241304153
271,7958.500474439907,5919.990899182668,838.8350925354123,1199.6744827218263,8719.574769672286,16678.075244112195
272,24532.882525192334,18245.984814774645,2587.095107792967,3699.8026026247194,26891.48196971152,51424.36449490386
