Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,271,1,19,7,2023-01-19T05:40:00+08:00,20,15,297,602
,,,,,,,,,272,1,19,8,2023-01-19T06:40:00+08:00,20,15,297,602
,,,,,,,,,273,1,19,9,2023-01-19T07:40:00+08:00,20,15,297,602
,,,,,,,,,274,1,19,10,2023-01-19T08:40:00+08:00,20,15,297,602
,,,,,,,,,275,1,19,11,2023-01-19T09:40:00+08:00,20,15,297,602
,,,,,,,,,276,1,19,12,2023-01-19T10:40:00+08:00,20,15,297,602
,,,,,,,,,277,1,19,13,2023-01-19T11:40:00+08:00,20,15,297,602
,,,,,,,,,278,1,19,14,2023-01-19T12:40:00+08:00,20,15,297,602
,,,,,,,,,279,1,19,15,2023-01-19T13:40:00+08:00,20,15,297,602
,,,,,,,,,280,1,19,16,2023-01-19T14:40:00+08:00,20,15,297,602
,,,,,,,,,281,1,19,17,2023-01-19T15:40:00+08:00,20,15,297,602
,,,,,,,,,282,1,19,18,2023-01-19T16:40:00+08:00,20,15,297,602
,,,,,,,,,283,1,19,19,2023-01-19T17:40:00+08:00,16,12,237,481
,,,,,,,,,284,1,19,20,2023-01-19T18:40:00+08:00,16,12,237,481
,,,,,,,,,285,1,19,21,2023-01-19T19:40:00+08:00,16,12,237,481
,,,,,,,,,286,1,19,22,2023-01-19T20:40:00+08:00,16,12,237,481
,,,,,,,,,287,1,19,23,2023-01-19T21:40:00+08:00,16,12,237,481
,,,,,,,,,288,1,19,24,2023-01-19T22:40:00+08:00,16,12,237,481
,,,,,,,,,289,1,20,1,2023-01-19T23:40:00+08:00,12,9,178,361
,,,,,,,,,290,1,20,2,2023-01-20T00:40:00+08:00,12,9,178,361
,,,,,,,,,291,1,20,3,2023-01-20T01:40:00+08:00,12,9,178,361
